Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Back in Black	ACDC					4102577	255						20/02/2013 17:24	16/07/2012 21:22	128	44100		MPEG audio file			15	09/05/2013 22:53	1	18/03/2013 19:42	80	B:\Music\Back in Black.mp3
Highway to Hell	ACDC					3345238	208						20/02/2013 17:24	16/07/2012 21:22	128	44100		MPEG audio file			8	17/03/2013 14:37			80	B:\Music\Highway to Hell with lyrics.mp3
You Shook Me All Night Long	ACDC					3646599	227						20/02/2013 17:23	16/07/2012 21:22	128	44100		MPEG audio file			7	25/04/2013 13:54	2	20/08/2012 11:05	80	B:\Music\You Shook Me All Night Long.mp3
Dream 	Aerosmith					4248443	264						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			14	21/04/2013 20:03	1	07/05/2013 13:47		B:\Music\Dream On [Lyrics] - Aerosmith.mp3
I Don't Wanna Miss A Thing	Aerosmith					4671021	291						20/02/2013 17:29	16/07/2012 21:22	128	44100		MPEG audio file			3	12/04/2013 13:58	2	07/05/2013 13:48		B:\Music\I Don't Wanna Miss A Thing.mp3
I need a Dollar	Aloe Blacc					5897469	245						20/02/2013 17:35	16/07/2012 21:22	192	44100		MPEG audio file			6	09/05/2013 20:49	1	28/02/2013 16:48		B:\Music\I need a Dollar.mp3
Loving You Is Killing Me	Aloe Blacc					3150483	195						20/02/2013 17:36	16/07/2012 21:22	128	44100		MPEG audio file			6	29/03/2013 15:52	3	23/04/2013 09:52		B:\Music\Loving You Is Killing Me.mp3
Walk The Moon	Anna Sun					5202745	324						30/11/2012 21:50	16/07/2012 21:22	128	44100	254	MPEG audio file			17	26/05/2013 18:15				B:\Music\Walk The Moon - Anna Sun.mp3
Bet You Look Good On The Dancefloor	Arctic Monkeys					2814877	175						20/02/2013 17:53	16/07/2012 21:22	128	44100		MPEG audio file			11	26/05/2013 18:20	4	18/04/2013 19:23		B:\Music\Bet You Look Good On The Dancefloor.mp3
From the ritz to the rubble	Arctic Monkeys					3113292	193						20/02/2013 17:51	16/07/2012 21:22	128	44100		MPEG audio file			8	29/03/2013 14:22				B:\Music\From the ritz to the rubble.mp3
Mardy Bum	Arctic Monkeys					2715795	168						20/02/2013 17:52	16/07/2012 21:22	128	22050		MPEG audio file			12	09/05/2013 23:13	2	28/02/2013 16:44		B:\Music\Mardy Bum.mp3
When The Sun Goes Down	Arctic Monkeys					3340239	207						20/02/2013 17:52	16/07/2012 21:22	128	44100		MPEG audio file			5	10/05/2013 01:01	1	12/04/2013 13:59		B:\Music\When The Sun Goes Down.mp3
Anything You Want	Belleruche					3490407	217						07/05/2013 13:50	31/07/2012 19:59	128	44100		MPEG audio file			17	13/04/2013 21:46	1	28/02/2013 16:40		B:\Music\Anything You Want.mp3
Balance	Belleruche					4024420	250						20/02/2013 18:08	31/07/2012 19:55	128	44100		MPEG audio file			12	22/04/2013 20:03	1	28/02/2013 16:42		B:\Music\Balance.mp3
Clockwatching	Belleruche					4494629	280						20/02/2013 18:08	31/07/2012 19:48	128	44100		MPEG audio file			12	13/02/2013 16:11				B:\Music\Clockwatching.mp3
Fuzz Face	Belleruche					2938014	182						20/02/2013 18:09	31/07/2012 19:51	128	44100		MPEG audio file			17	09/05/2013 22:41	1	28/02/2013 16:41		B:\Music\Fuzz Face.mp3
Itch	Belleruche					4822637	200						19/11/2012 00:52	18/11/2012 23:39	192	44100		MPEG audio file			6	13/04/2013 21:50	1	28/02/2013 16:47		B:\Music\Itch.mp3
Stormbird	Belleruche					2878377	178						20/02/2013 18:10	31/07/2012 19:50	128	44100		MPEG audio file			18	26/04/2013 13:53	3	28/02/2013 16:41		B:\Music\Stormbird.mp3
Start Over	Beyonce 					1472628	209						04/09/2012 23:26	16/07/2012 21:22	8	22050		MPEG audio file			6	14/04/2013 13:27	1	24/07/2012 16:39		B:\Music\Start Over - Beyonc Full Original NEW SONG 2011 Audio.mp3
Lovely Day	Bill Withers					4084209	254						20/02/2013 18:19	16/07/2012 21:22	128	44100		MPEG audio file			8	22/04/2013 14:09	1	17/10/2012 15:09		B:\Music\Lovely Day.mp3
Dancing With Myself	Billy Idol					3265417	203						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			5	12/03/2013 13:52				B:\Music\Billy Idol - Dancing With Myself.mp3
Iron Man	Black Sabbath					5649866	352						30/11/2012 21:47	16/07/2012 21:22	128	22050		MPEG audio file			9	09/05/2013 23:03	2	14/04/2013 15:05		B:\Music\Iron Man-Black Sabbath-Lyrics Included.mp3
Everybody Needs Somebody	Blues Brothers					3274203	203						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			10	26/05/2013 19:09	1	03/07/2012 09:21		B:\Music\Blues Brothers - Everybody Needs Somebody.mp3
It's my life 	Bon Jovi					3871868	241						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			6	18/04/2013 12:08	3	14/04/2013 16:39		B:\Music\Bon Jovi - It 39s my life w  lyrics.mp3
Living on a Prayer 	Bon Jovi 					4014817	250						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			3	19/03/2013 19:20	1	24/07/2012 07:20		B:\Music\Bon Jovi - Living on a Prayer Lyrics.mp3
 Always	Bon Jovi  					5821377	363						19/02/2013 18:58	08/02/2013 16:40	128	32000		MPEG audio file			4	03/04/2013 08:43				B:\Music\Bon Jovi   Always.mp3
Because We Can	Bon Jovi   					3876809	241						19/02/2013 18:58	08/02/2013 16:40	128	32000		MPEG audio file			10	26/05/2013 18:28				B:\Music\Bon Jovi   Because We Can.mp3
Wanted Dead Or Alive	Bon Jovi   					4012175	250						19/02/2013 18:58	08/02/2013 16:40	128	32000		MPEG audio file			10	26/05/2013 18:32	1	17/04/2013 09:57		B:\Music\Bon Jovi   Wanted Dead Or Alive.mp3
You Give Love A Bad Name	Bon Jovi   					3757011	234						19/02/2013 18:58	08/02/2013 16:41	128	32000		MPEG audio file			8	26/05/2013 18:24	2	26/05/2013 18:33		B:\Music\Bon Jovi   You Give Love A Bad Name.mp3
More than A Feeling	Boston					4580731	285						30/11/2012 21:46	16/07/2012 21:22	128	22050		MPEG audio file			13	12/04/2013 14:41	1	28/02/2013 16:42		B:\Music\Boston- More than A Feeling.mp3
Born In The U.S.A.	Bruce Springsteen					4549812	283						30/11/2012 21:46	16/07/2012 21:23	128	22050		MPEG audio file			3	03/03/2013 15:43	1	05/03/2013 17:16		B:\Music\Bruce Springsteen - Born In The U.S.A..mp3
Runaway Baby 	Bruno Mars					2446629	152						30/11/2012 21:46	16/07/2012 21:23	128	44100		MPEG audio file			10	12/03/2013 15:43	1	07/05/2013 13:54		B:\Music\Bruno Mars - Runaway Baby  (WITH LYRICS).mp3
Jolie Coquine	Caravan Palace 					3643115	226						18/11/2012 22:50	29/07/2012 23:16	128	44100		MPEG audio file			12	26/05/2013 19:39	1	07/05/2013 13:54		B:\Music\Caravan Palace - Jolie Coquine [CLIP].mp3
Forget You	Cee Lo Green					5628760	233						30/11/2012 21:46	16/07/2012 21:22	192	44100		MPEG audio file			12	17/04/2013 10:01	1	22/04/2013 20:29		B:\Music\Cee Lo Green - Forget You.mp3
Express Yourself	Charles Wright and The Watts					2191034	2180						20/06/2012 08:18	16/07/2012 21:22	8	22050		MPEG audio file			2	21/10/2012 19:43	2	07/05/2013 13:55		B:\Music\Charles Wright  The Watts 103Rd Street Rhythm Band-Express Yourself Mocean Worker.mp3
Every Teardrop Is A Waterfall	Coldplay 					4013991	249						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			4	16/12/2012 10:19	1	05/03/2013 12:26		B:\Music\Coldplay - Every Teardrop Is A Waterfall.mp3
Paradise	Coldplay 					4174466	259						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			8	12/03/2013 13:48	2	07/05/2013 13:55		B:\Music\Coldplay - Paradise.mp3
Sunshine of Your Love	Cream					4330792	269						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			7	22/04/2013 12:49	1	18/04/2013 19:22		B:\Music\Sunshine of Your Love by Cream.mp3
Tales of Brave Ulysses	Cream					2789778	173						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			12	12/04/2013 13:20	1	07/06/2012 20:08		B:\Music\Cream-Tales of Brave Ulysses.mp3
White Room	Cream 					4845290	301						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			11	12/04/2013 13:25	1	02/08/2012 16:48		B:\Music\Cream - White Room.mp3
Move On Up	Curtis Mayfield					3471049	216						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			6	08/05/2013 18:43	3	07/05/2013 13:56		B:\Music\Curtis Mayfield - Move On Up.mp3
Pusherman	Curtis Mayfield					4891691	304						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			5	26/05/2013 18:39	3	07/05/2013 15:33		B:\Music\Curtis Mayfield - Pusherman.mp3
The Blower's Daughter 	Damien Rice					4723263	294						30/11/2012 21:46	16/07/2012 21:22	128	44100	254	MPEG audio file			16	26/05/2013 18:44				B:\Music\Damien Rice - The Blower 39s Daughter - Official Video.mp3
Delicate	Damien Rice					5012058	312						30/11/2012 21:46	16/07/2012 21:22	128	44100	254	MPEG audio file			14	14/04/2013 09:54	1	03/10/2012 16:58		B:\Music\Damien Rice-Delicate.mp3
Cannonball 	Damien Rice 					4434861	276						30/11/2012 21:46	16/07/2012 21:22	128	44100	254	MPEG audio file			13	02/05/2013 12:01	2	26/05/2013 18:49		B:\Music\Damien Rice - Cannonball - Official Video.mp3
9 Crimes	Damien Rice 					3602283	224						30/11/2012 21:46	16/07/2012 21:22	128	44100	252	MPEG audio file			25	26/05/2013 18:52	2	26/05/2013 18:45		B:\Music\Damien Rice - 9 Crimes - Official Video.mp3
Bohemian Like You	The Dandy Warhols					3410454	212						08/02/2013 23:31	16/07/2012 21:22	128	44100		MPEG audio file			12	09/05/2013 23:10				B:\Music\Bohemian Like You.mp3
Golden Years	David Bowie					4930978	204						30/11/2012 21:47	16/07/2012 21:22	192	44100		MPEG audio file			5	29/03/2013 17:53	1	07/05/2013 13:56		B:\Music\Golden Years- David Bowie.mp3
